Sale_Id,Order ID,Customer ID,Product ID,Location_Id,Sales,Unit_Sale,Quantity,Discount,Profit
7981,CA-2011-103800,DP-13000,OFF-PA-10000174,246,16.448,10.28,2,0.2,5.5512
740,CA-2011-112326,PO-19195,OFF-LA-10003223,389,11.784,4.91,3,0.2,4.2717
741,CA-2011-112326,PO-19195,OFF-ST-10002743,389,272.736,113.64,3,0.2,-64.7748
742,CA-2011-112326,PO-19195,OFF-BI-10004094,389,3.54,8.85,2,0.8,-5.487
1760,CA-2011-141817,MB-18085,OFF-AR-10003478,450,19.536,8.14,3,0.2,4.884
5328,CA-2011-130813,LS-17230,OFF-PA-10002005,322,19.44,6.48,3,0,9.3312
7181,CA-2011-106054,JO-15145,OFF-AR-10002399,23,12.78,4.26,3,0,5.2398
7475,CA-2011-167199,ME-17320,FUR-CH-10004063,232,2573.82,285.98,9,0,746.4078
7476,CA-2011-167199,ME-17320,OFF-BI-10004632,232,609.98,304.99,2,0,274.491
7477,CA-2011-167199,ME-17320,OFF-AR-10001662,232,5.48,2.74,2,0,1.4796
7478,CA-2011-167199,ME-17320,TEC-PH-10004977,232,391.98,195.99,2,0,113.6742
7479,CA-2011-167199,ME-17320,TEC-PH-10004539,232,755.96,188.99,4,0,204.1092
7480,CA-2011-167199,ME-17320,OFF-FA-10001883,232,31.12,7.78,4,0,0.3112
7481,CA-2011-167199,ME-17320,OFF-PA-10000955,232,6.54,6.54,1,0,3.0084
7661,CA-2011-105417,VS-21820,FUR-FU-10004864,252,76.728,63.94,3,0.6,-53.7096
7662,CA-2011-105417,VS-21820,OFF-BI-10003708,252,10.43,7.45,7,0.8,-18.2525
593,CA-2011-135405,MS-17830,OFF-AR-10004078,296,9.344,5.84,2,0.2,1.168
594,CA-2011-135405,MS-17830,TEC-AC-10001266,296,31.2,13,3,0.2,9.75
866,CA-2011-149020,AJ-10780,OFF-LA-10004272,562,2.89,2.89,1,0,1.3583
867,CA-2011-149020,AJ-10780,FUR-FU-10000965,562,51.94,51.94,1,0,21.2954
717,CA-2011-130092,SV-20365,FUR-FU-10000010,151,9.94,4.97,2,0,3.0814
764,CA-2011-162775,CS-12250,OFF-EN-10001990,52,11.36,5.68,2,0,5.3392
765,CA-2011-162775,CS-12250,OFF-EN-10001532,52,50.94,16.98,3,0,25.47
766,CA-2011-162775,CS-12250,TEC-AC-10003174,52,646.74,107.79,6,0,258.696
767,CA-2011-162775,CS-12250,OFF-BI-10004187,52,5.64,1.88,3,0,2.7072
768,CA-2011-162775,CS-12250,OFF-ST-10000025,52,572.58,95.43,6,0,34.3548
